일자,수익률,대비,종목명
2022-05-19,3.307,-0.013,국채10년
2022-05-20,3.245,-0.062,국채10년
2022-05-23,3.258,0.013,국채10년
2022-05-24,3.214,-0.044,국채10년
2022-05-25,3.177,-0.037,국채10년
2022-05-26,3.238,0.061,국채10년
2022-05-27,3.212,-0.026,국채10년
2022-05-30,3.211,-0.001,국채10년
2022-05-31,3.326,0.115,국채10년
2022-06-02,3.421,0.095,국채10년
2022-06-03,3.405,-0.016,국채10년
2022-06-07,3.538,0.133,국채10년
2022-06-08,3.472,-0.066,국채10년
2022-06-09,3.471,-0.001,국채10년
2022-06-10,3.495,0.024,국채10년
2022-06-13,3.654,0.159,국채10년
2022-06-14,3.691,0.037,국채10년
2022-06-15,3.795,0.104,국채10년
2022-06-16,3.767,-0.028,국채10년
2022-06-17,3.795,0.028,국채10년
2022-06-20,3.784,-0.011,국채10년
2022-06-21,3.775,-0.009,국채10년
2022-06-22,3.682,-0.093,국채10년
2022-06-23,3.726,0.044,국채10년
2022-06-24,3.635,-0.091,국채10년
2022-06-27,3.72,0.085,국채10년
2022-06-28,3.68,-0.04,국채10년
2022-06-29,3.667,-0.013,국채10년
2022-06-30,3.636,-0.031,국채10년
2022-07-01,3.49,-0.146,국채10년
2022-07-04,3.489,-0.001,국채10년
2022-07-05,3.379,-0.11,국채10년
2022-07-06,3.295,-0.084,국채10년
2022-07-07,3.307,0.012,국채10년
2022-07-08,3.36,0.053,국채10년
2022-07-11,3.385,0.025,국채10년
2022-07-12,3.349,-0.036,국채10년
2022-07-13,3.301,-0.048,국채10년
2022-07-14,3.295,-0.006,국채10년
2022-07-15,3.242,-0.053,국채10년
2022-07-18,3.27,0.028,국채10년
2022-07-19,3.253,-0.017,국채10년
2022-07-20,3.36,0.107,국채10년
2022-07-21,3.374,0.014,국채10년
2022-07-22,3.302,-0.072,국채10년
2022-07-25,3.211,-0.091,국채10년
2022-07-26,3.183,-0.028,국채10년
2022-07-27,3.121,-0.062,국채10년
2022-07-28,3.201,0.08,국채10년
2022-07-29,3.127,-0.074,국채10년
2022-08-01,3.184,0.057,국채10년
